,,,,Price ,Price ,Price ,Price ,Price ,Price ,
,,Length,Quantity,Natural color /#1 ,Dark Brown/ #4,Honey Blonde / #27,Auburn Brown / #30,Bug/#99J,Mix P4/30/27,Specifications
 Afro Kinky Bulk,Human Hair Afro Kinky Bulk,12,"1,2,3 (Full Head), 5 (Recommend) ",32.99,34.99,34.99,34.99,34.99,34.99,"- Elegant Impressions Afro kinky Bulk Hair Extensions for braiding 
- Made from 100% human hair 
- Lightweight and protective for comfortable wear
- Ideal for beginners and professionals
- It is Resuable

Packaging & Quantity:
- 50g per pack
- 3-5 packs recommended for a full, voluminous look"
,,14,"1,2,3 (Full Head), 5  (Recommend) ",35.99,37.99,37.99,37.99,37.99,37.99,
,,16,"1,2,3 (Full Head), 5  (Recommend) ",38.99,39.99,39.99,39.99,39.99,39.99,
,,18,"1,2,3 (Full Head), 5  (Recommend) ",41.99,46.99,46.99,46.99,46.99,46.99,
,,20,"1,2,3 (Full Head), 5  (Recommend) ",45.99,51.99,51.99,51.99,51.99,51.99,
,,22,"1,2,3 (Full Head), 5  (Recommend) ",50.99,54.99,54.99,54.99,54.99,54.99,
,,,,,,,,,,
,,,Note on Qty & Price: We need logic implement for discount - Price for 3 QTY to be reduced by £8 while price for 5 QTY to be reduced by £15 ,,,,,,,
